Name,ESI
WASP-146 b,0.024819567
WASP-148 b,0.060720173
WASP-150 b,0.039026116
WASP-156 b,0.07614418
WASP-157 b,0.036588766
WASP-158 b,0.038481556
WASP-159 b,0.011575135
WASP-162 b,0.078399449
WASP-166 b,0.042536405
WASP-168 b,0.012779899
WASP-169 b,0.01546968
WASP-171 b,0.032133614
WASP-172 b,0.009010593
WASP-174 b,0.010770836
WASP-175 b,0.022965336
WASP-176 b,0.012786944
WASP-177 b,0.014978294
WASP-178 b,0.006345101
WASP-18 b,0.024630342
WASP-180 A b,0.018707465
WASP-181 b,0.020338834
WASP-182 b,0.02246225
WASP-183 b,0.017752073
WASP-189 b,0.006778767
WASP-19 b,0.012960285
WASP-190 b,0.026634027
WASP-20 A b,0.011501099
WASP-28 b,0.023873299
WASP-30 b,0.010824094
WASP-33 b,0.009938307
WASP-36 b,0.024239728
WASP-41 b,0.030807462
WASP-47 b,0.034943703
WASP-50 b,0.03351955
WASP-55 b,0.019846577
WASP-59 b,0.117849011
WASP-69 b,0.030139253
WASP-70 A b,0.023308933
WASP-73 b,0.026370419
WASP-74 b,0.016426538
WASP-75 b,0.019488942
WASP-76 b,0.006680544
WASP-82 b,0.009064263
WASP-83 b,0.028013088
WASP-84 b,0.067056657
WASP-85 A b,0.026279148
WASP-87 A b,0.014910382
WASP-88 b,0.008086435
WASP-89 b,0.060582214
WASP-90 b,0.008863947
WASP-92 b,0.011956362
WASP-94 A b,0.008116938
WASP-95 b,0.026800261
WASP-96 b,0.022069587
WASP-97 b,0.029049439
WASP-98 b,0.035512103
WASP-99 b,0.040154055
WISE J2216+1952,0.061048983
WTS-2 b,0.015714528
Wendelstein-1 b,0.021561071
Wolf 503 b,0.286123009
XO-4 b,0.022287406
XO-6 b,0.010523204
XO-7 b,0.013952861
pi Men c,0.187019674
